episode,ep_rew,ep_len
1117,-77.0,77
1118,-110.0,100
1119,-22.0,30
1120,-12.0,10
1121,-110.0,100
1122,-36.0,36
1123,-11.0,9
1124,-21.0,31
1125,-110.0,100
1126,-17.0,23
1127,-49.0,49
1128,-38.0,38
1129,-110.0,100
1130,-31.0,31
1131,-10.0,12
1132,-65.0,65
1133,-110.0,100
1134,-9.0,7
1135,-32.0,32
1136,-16.0,22
1137,-110.0,100
1138,-12.0,11
1139,-12.0,11
1140,-10.0,21
1141,-14.0,20
1142,-15.0,13
1143,-88.0,88
1144,-9.0,13
1145,-19.0,26
1146,-197.0,100
1147,-11.0,11
1148,-21.0,20
1149,-110.0,100
1150,-12.0,14
1151,-110.0,100
1152,-110.0,100
1153,-15.0,18
1154,-11.0,16
1155,-13.0,18
1156,-38.0,38
1157,-15.0,13
1158,-11.0,8
1159,-24.0,52
1160,-53.0,53
1161,-11.0,22
1162,-38.0,87
1163,-10.0,9
1164,-13.0,11
1165,-14.0,20
1166,-110.0,100
1167,-70.0,70
1168,-77.0,77
1169,-110.0,100
1170,-110.0,100
1171,-14.0,23
1172,-18.0,20
1173,-55.0,46
1174,-110.0,100
1175,-18.0,20
1176,-11.0,14
1177,-51.0,51
1178,-10.0,14
1179,-110.0,100
1180,-17.0,15
1181,-19.0,24
1182,-110.0,100
1183,-83.0,83
1184,-55.0,55
1185,-128.0,100
1186,-51.0,51
1187,-135.0,100
1188,-25.0,38
1189,-13.0,16
1190,-34.0,28
1191,-18.0,23
1192,-11.0,13
1193,-25.0,30
1194,-9.0,10
1195,-15.0,16
1196,-110.0,100
1197,-16.0,25
1198,-60.0,60
1199,-13.0,16
1200,-10.0,9
1201,-34.0,34
1202,-14.0,11
1203,-12.0,22
1204,-110.0,100
1205,-110.0,100
1206,-110.0,100
1207,-26.0,30
1208,-29.0,51
1209,-12.0,13
1210,-20.0,19
1211,-110.0,100
1212,-17.0,18
1213,-110.0,100
1214,-110.0,100
1215,-10.0,8
1216,-9.0,9
1217,-11.0,9
1218,-15.0,12
1219,-51.0,51
1220,-14.0,39
1221,-31.0,32
1222,-15.0,15
1223,-10.0,15
1224,-12.0,11
1225,-9.0,12
1226,-110.0,100
1227,-18.0,18
1228,-41.0,41
1229,-17.0,21
1230,-21.0,25
1231,-125.0,100
1232,-110.0,100
1233,-12.0,23
1234,-12.0,11
1235,-9.0,10
1236,-26.0,27
1237,-21.0,23
1238,-68.0,68
1239,-12.0,13
1240,-17.0,17
1241,-63.0,63
1242,-42.0,42
1243,-110.0,100
1244,-10.0,14
1245,-110.0,100
1246,-18.0,20
1247,-13.0,11
1248,-110.0,100
1249,-110.0,100
1250,-94.0,94
1251,-9.0,10
1252,-23.0,23
1253,-110.0,100
1254,-14.0,17
1255,-24.0,41
1256,-13.0,11
1257,-13.0,14
1258,-16.0,22
1259,-10.0,13
1260,-110.0,100
